id,title,city,state,website,phone,place_id
aaog10400i9l96yjyfwvb7cx,"Auburn Pain Specialists, LLC",Auburn,AL,https://auburnpainspecialists.com/,+1 334-501-2005,
i3zaub73fujutf27tadwdie7,"Ronald L. Collins, MD, DAAPM",Huntsville,AL,https://tnvalleypain.com/our-physicians/ronald-collins-md/,+1 256-265-7246,
lhst8ssaeephskjib1ec8qsf,Dr Ryan almeida,Alabaster,Alabama,https://center4pain.com/dr-ryan-almeida/,+1 334-288-7808,ChIJf5o-YDsliYgR3Urd6qSkVow
trnnranabu1iqalrwmq4zhvu,Pain & Rehabilitation Consultants Albertville,Albertville,Alabama,http://alpainrehab.com/,+1 256-660-1315,ChIJw75__5IDiogRvPu45OHdXd0
kmvujqmqazf1fti9egim53om,Clearway Pain Solutions - Andalusia,Andalusia,Alabama,https://clearwaypain.com/locations/andalusia/,+1 855-527-7246,ChIJDZTojxntkYgRs-jscsa1cbA
c6f4fj4trod2nr45ums6ys71,"Maddox Pain Management: Gil Maddox, MD",Anniston,Alabama,https://www.maddoxpainmanagement.com/,+1 256-237-7002,ChIJKfFcur-zi4gROn1-VQzdJR0
ywofmkmq47xqri8erxwd2a44,Alabama Anesthesiology and Pain Consultants,Anniston,Alabama,http://www.aaapcmd.com/directory/,+1 256-235-5972,ChIJs5oWVWWzi4gRD6MGaqkDa1Y
cki5y30p3j13027pheq9jh4k,"Joshua Meyer, MD",Anniston,Alabama,https://www.legacypainandspine.com/staff,+1 256-231-1231,ChIJq6qqRZiNkogRKq25MyDUQeM
o2nv1abpfzwf5qo8mvadpj4z,Athens Limestone Pain Center,Athens,Alabama,https://athenslimestonehospital.com/physician-clinics/athens-limestone-pain-center,+1 256-262-2190,ChIJDacYzl-LYogRZ9l-VEOO8a4
hz5bn7g70m9e92x886umn496,Clearway Pain Solutions,Atmore,Alabama,http://clearwaypain.com/,+1 855-527-7246,ChIJxQAHhnN5kIgRl-huO50wiL4
niyelq0laactmlx7xr41jvgd,"Auburn Pain Specialists, LLC",Auburn,Alabama,https://auburnpainspecialists.com/,+1 334-501-2005,ChIJAdu048jyjIgRdm06xaJ_BAk
el0frajyijemh0sqc9syowr2,Alabama Pain Physicians - Bessemer,Bessemer,Alabama,https://bamapain.com/,+1 205-332-3160,ChIJ4UzY8NvdiIgRyYSWDZWeyhg
mrwnh7vyn8xwr0dudtneuo6r,Gibson Michael G MD,Birmingham,Alabama,http://birminghampain.com/,+1 205-313-7246,ChIJyY17s3QWiYgRwnlcDJUZ4kI
arzcgco9sop2r7twyv15eo6g,Southern Wellness - pain management,Birmingham,Alabama,http://www.southernwellnessmed.com/,+1 205-624-4325,ChIJux6UmAgWiYgROMM3HkbRY_Y
mol9ava6nq071i3j7wxru5z3,"Richard Brian Thoma, M.D.",Birmingham,Alabama,http://www.cahabapain.com/,+1 205-208-9001,ChIJbxfFVgoiiYgR7hyvgEo-gR0
fkne3tl1kid8ucfolea032em,Nesbitt Pain Associates PC,Birmingham,Alabama,https://www.nesbittpain.com/,+1 205-723-0088,ChIJpZDVILYbiYgRph8CYlYdtEQ
x6a0tze35w20ynscg1cj01j3,Southern Pain Specialists,Birmingham,Alabama,http://www.southernpain.com/,+1 205-995-9967,ChIJi2hZpXAWiYgRlN9GLpTQgP4
t9vrljxfrntw3oqaxayk9i9a,Southside Pain Specialists,Birmingham,Alabama,https://www.southsidepainspecialists.com/?utm_source=GMBlisting&utm_medium=organic,+1 205-332-3155,ChIJXVlbI8kbiYgR24UG7Xek2fY
ei4n4g5jpv7t7f5xafiymp3t,Comprehensive Pain Center,Birmingham,Alabama,http://www.cpcbirmingham.com/,+1 205-878-4368,ChIJ2-lyB2cZiYgR65nh1ybtO4k
f6xhsk4hq88ng14ieno8fu0z,Birmingham Pain Center: Shaw Olivia,Birmingham,Alabama,https://birminghampain.com/,+1 205-313-7246,ChIJyY17s3QWiYgRxkkMGONZ5Cg
h55gqz725czta8kb88mk6mb0,"Dr. Matthew D. Berke, MD",Birmingham,Alabama,http://www.orthosportsassociates.com/,+1 205-838-3090,ChIJy9qCUAsOiYgRx6ixErTq0AE
qg7664r8gpqyxuawgd1oa9ze,"Kenneth Varley, MD",Birmingham,Alabama,https://www.southernpain.com/,+1 205-995-9967,ChIJEVCQsHEWiYgRmKK08BP66Gs
qhi1u9o5xgyds4mbipr3ur64,Vulcan Pain Management,Birmingham,Alabama,https://www.vulcanpainmanagement.com/,+1 205-892-5561,ChIJbYTghd8XiYgRB_E_m5u4DeU
grx88sw2ct8ntfc01rxcpzuz,"Srinivas Mallempati, M.D.",Birmingham,Alabama,https://www.orthoalabama.com/doctors/srinivas-mallempati-md?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite,+1 205-228-7600,ChIJD_U5tgwOiYgR5K5MDB-EWUE
ldenlqxs5b6x6mnsw45jl3oo,"Preferred Pain Associates of Alabama,",Birmingham,Alabama,http://www.alpainclinics.com/,+1 205-508-5300,ChIJ7RPEsowMiYgRj3CvogyFR8A
n06tp15o7kd8gonarveerif3,Legacy Pain & Spine Specialists,Birmingham,Alabama,https://www.legacypainandspine.com/,+1 256-231-1231,ChIJw1fXAwgXiYgR4maF0PU9nyo
bv74ock4g7ddsbpr6n2npm6b,Alabama Pain Physicians - Birmingham,Birmingham,Alabama,https://bamapain.com/,+1 205-332-3160,ChIJV-c22nYaiYgRPO0MWZTucG0
wdzuik2tamgqvoh6l8z2s4q6,Integrative Pain and Wellness,Boaz,Alabama,http://www.integrative-pain.com/,+1 256-803-8800,ChIJa_6oGD5LiogRCjNr8zibkoM
c179pl8r9z8q8hqzu88ye6ao,Southside Pain Specialists,Cullman,Alabama,https://www.southsidepainspecialists.com/,+1 256-841-0800,ChIJIyI4JBPJiYgRt18U5dooexo
qtgpojmpn2ue6rohzcsfriso,Cullman Pain & Wellness,Cullman,Alabama,https://cullman.drrickytubbs.com/?page_id=58,+1 256-737-4100,ChIJK8JQ9QVYiogRjH9_i4fTXus
orhau5u6o0yrfpvadmuwu8mw,"Elliott Pennington, MD",Daphne,Alabama,https://www.baldwinboneandjoint.com/?utm_source=GMBSocialClimb&utm_medium=ElliottPennington%2CMD,+1 251-625-2663,ChIJ3xSUFthDmogR3hYPzeWurzM
so469sk6qfpoufgez4rjuikp,Valley Pain Clinic,Decatur,Alabama,https://valleypainclinic.net/,+1 256-301-9994,ChIJT4vl-2-EYogRczJIYDTg4fs
y3auzdvqu0aduiu3x07csznz,Shikh Ahmad MD,Decatur,Alabama,https://valleypainclinic.net/ahmad-shikhtholth-md/,+1 256-301-9994,ChIJLROSXHmEYogR9hKGSRwH6h4
owc65t3b2w4l6gvutam2m1eh,"Hayden Hundley, M.D., MPH",Dothan,Alabama,https://www.flowersmedicalgroup.com/our-locations/dothan-neurospinepain-1975?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings,+1 334-944-7073,ChIJtzK2aOKNkogRNJu-zK9_tQE
koyxtmts9co4q4dinwqj49ml,DYNAMIC Pain & Wellness,Dothan,Alabama,https://dynamicpainandwellness.com/,+1 251-308-9800,ChIJh-jmN8yTkogR_T65SOHszKk
pw0czwz6r1e88052s2iuf509,Southeast Health Pain Management,Dothan,Alabama,https://www.southeasthealth.org/pain-management,+1 334-793-8196,ChIJt-DtWnCTkogR3bM5vWDmCSc
w69cud5q4n9ktszqcudfp93o,The Center for Pain- Dothan,Dothan,Alabama,https://center4pain.com/,+1 334-288-7808,ChIJY4sGouqNkogRhzwjYQoTh9w
nd7qqets3pkfxyvkjyytzn4j,Hannahan Comprehensive Pain Care,Enterprise,Alabama,https://www.comprehensivepain.org/,+1 334-417-0450,ChIJv_QGrBZvkogRC5_I2Y8ZYxI
wl6mgkb16920bo6pdnnzgq9o,Eastern Shore Pain Management,Fairhope,Alabama,http://www.easternshorepainmanagement.com/,+1 251-929-2050,ChIJSeZaxWU-mogR6PAXXf0mTrA
r6w5n6rtwt7lcw1i0ob5b6a7,Barfield Matthew Q DO,Fairhope,Alabama,https://www.treatingpain.com/find-a-doctor/matthew-q-barfield-do/,+1 251-625-2228,ChIJsXs8AwRDmogR-Bh6AnVLwcU
jgluolmey0wac2gogdxd2d3t,Alabama Spine and Pain : Pavan Telang MD,Florence,Alabama,http://www.alabamaspineandpain.com/,+1 256-712-2422,ChIJe5F0OhfyPogRq1ax-gpXmzo
dvcf4gkmyp3ffqy5gmctolcj,United Spine & Pain PLLC,Foley,Alabama,http://www.unitedspinepain.com/,+1 850-633-4877,ChIJBdCXnAwPmogRBIsGaRrZxO4
iw8gzeixoq09p2i7m5a9yuy7,Relief Spine & Pain Center,Fort Payne,Alabama,https://www.reliefspineandpaincenter.com/,+1 256-646-7246,ChIJ24wsyuTXYYgRmB4AFsJ32dc
xntvxarue22mppuwjuc1ly9a,"Dr. Odeane H. Connor, MD",Gadsden,Alabama,http://dr-odeane-h-connor-md.jany.io/,+1 256-546-9558,ChIJlSDXtK0-iogRy0yb8SUu7-Y
wueop7u3htn43sfjrndfs1n1,Gardendale Pain & Wellness,Gardendale,Alabama,http://drrickytubbs.com/,+1 205-608-8199,ChIJVVUV_60GiYgRbIIEre_3uqo
q7hupdcb9oziborlrbr6pga7,Marshall Pain Clinic,Guntersville,Alabama,https://www.mmcenters.com/?utm_source=gmb&utm_medium=organic,+1 256-840-4821,ChIJIaF7g0H4iYgRN9t6E_QWQgY
hw34h67j9liu7239n1p9gyvl,Cahaba Pain and Spine Care,Hoover,Alabama,http://www.cahabapain.com/,+1 205-208-9001,ChIJP8-KVgoiiYgRmaY-fVU4bXs
t3ou1b14nrclllqmxvf89vc4,The Doleys Clinic,Hoover,Alabama,https://www.thedoleysclinichoover.com/,+1 205-982-3596,ChIJr_3cqugiiYgRSDbvV9b_nd8
tqx3uvl150pbr4pbtaw6i6h2,Living Healthy MD,Huntsville,Alabama,https://livinghealthymd.com/,+1 256-715-7483,ChIJxb4BdsYTYogRbMGwKHOVskY
